,PADRE,MADRE,PADRE DE LA MADRE
R.P. D451 H.B.A 892634,EL ABRA JEWLIAN MELGA A460,EL ABRA DUCHESS RANCE A64,EL ABRA JEWLIAN 7529
EL ABRA JEWLIAN MELGA D451,,,
NACIÓ 02/05/22,,,
R.P. D570 H.B.A 893770,EL ABRA JEWLIAN MELGA A460,EL ABRA DUCHESS RANCE 8214,EL ABRA JEWLIAN 6230
EL ABRA JEWLIAN MELGA D570,,,
NACIÓ 03/09/22,,,
R.P. D595 H.B.A 918231,EL ABRA JEWLIAN MELGA A460,EL ABRA DUCHESS ERONASA A30,EL ABRA JEWLIAN MELGA 7388
EL ABRA JEWLIAN MELGA D595,,,
NACIÓ 01/10/22,,,
R.P. D621 H.B.A 901328,EL ABRA JEWLIAN MELGA A748,EL ABRA DUCHESS RANCE 9878,EL ABRA MELGA BOND 8482
EL ABRA JEWLIAN MELGA D621,,,
NACIÓ 02/10/22,,,
R.P. D647 H.B.A 918232,EL ABRA JEWLIAN MELGA A460,EL ABRA DUCHESS ETTIE A152,EL ABRA HAYMOUNT 7413
EL ABRA JEWLIAN MELGA D647,,,
NACIÓ 03/10/22,,,
R.P. D672 H.B.A 901310,EL ABRA JEWLIAN MELGA A460,EL ABRA SQUARTBARRE A214,EL ABRA HAYMOUNT 8574
EL ABRA JEWLIAN MELGA D672,,,
NACIÓ 01/11/22,,,
R.P. D751 H.B.A 918230,EL ABRA HAYMOUNT A204,EL ABRA SQUARTBARRE C365,EL ABRA JEWLIAN MELGA A735
EL ABRA HAYMOUNT D751,,,
NACIÓ 02/12/22,,,
R.P. D753 H.B.A 903211,EL ABRA HAYMOUNT A204,EL ABRA DUCHESS RANCE C140,EL ABRA JEWLIAN MELGA 9081
EL ABRA HAYMOUNT D753,,,
NACIÓ 02/12/22,,,
R.P. D759 H.B.A 903210,EL ABRA HAYMOUNT C496,EL ABRA LADY PRINCE C446,EL ABRA HAYMOUNT A307
