,PADRE,MADRE,PADRE DE LA MADRE
R.P. D483 H.B.A 887016,EL ABRA JEWLIAN MELGA A460,EL ABRA DUCHESS RANCE A298,EL ABRA JEWLIAN 7758
EL ABRA DUCHESS RANCE D483,,,
NACIÓ 02/06/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D599 H.B.A 895566,EL ABRA JEWLIAN MELGA B095,EL ABRA DUCHESS RANCE B124,EL ABRA JEWLIAN 9742
EL ABRA DUCHESS RANCE D599,,,
NACIÓ 01/10/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D654 H.B.A 895544,EL ABRA JEWLIAN MELGA B938,EL ABRA DUCHESS ETTIE C283,EL ABRA HAYMOUNT A307
EL ABRA DUCHESS ETTIE D654,,,
NACIÓ 03/10/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D664 H.B.A 895541,EL ABRA JEWLIAN MELGA A748,EL ABRA QUEEN EBONETTE 8814,EL ABRA HAYMOUNT 4480
EL ABRA QUEEN EBONETTE D664,,,
NACIÓ 04/10/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D676 H.B.A 895536,EL ABRA JEWLIAN MELGA B095,EL ABRA DUCHESS RANCE B861,EL ABRA JEWLIAN 9052
EL ABRA DUCHESS RANCE D676,,,
NACIÓ 01/07/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN D416 H.B.A. 892390 A CAMPO DESDE EL 01-02-2025,,,
R.P. D695 H.B.A 895666,EL ABRA JEWLIAN 9742,EL ABRA DUCHESS RANCE C274,EL ABRA HAYMOUNT A204
EL ABRA DUCHESS RANCE D695,,,
NACIÓ 01/12/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D698 H.B.A 895606,EL ABRA JEWLIAN 9742,EL ABRA DUCHESS RANCE C126,EL ABRA HAYMOUNT 4480
EL ABRA DUCHESS RANCE D698,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D699 H.B.A 895605,EL ABRA JEWLIAN 9742,EL ABRA DUCHESS ERONASA C256,EL ABRA HAYMOUNT A204
EL ABRA DUCHESS ERONASA D699,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D706 H.B.A 895603,EL ABRA JEWLIAN 9742,EL ABRA DUCHESS IMPATIENT C281,EL ABRA HAYMOUNT A204
EL ABRA DUCHESS IMPATIENT D706,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D712 H.B.A 895599,EL ABRA JEWLIAN MELGA A460,EL ABRA LADY BUD 9803,EL ABRA JEWLIAN 7529
EL ABRA LADY BUD D712,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D713 H.B.A 895598,EL ABRA JEWLIAN MELGA A460,EL ABRA LADY SQUARTBARRE A119,EL ABRA EARL 8599
EL ABRA LADY SQUARTBARRE D713,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D715 H.B.A 895600,EL ABRA JEWLIAN MELGA A460,EL ABRA DUCHESS RANCE 9996,EL ABRA HAYMOUNT 7413
EL ABRA DUCHESS RANCE D715,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN B091 H.B.A. 838584 A CAMPO DESDE EL 01-02-2025,,,
R.P. D721 H.B.A 895664,EL ABRA JEWLIAN B223,EL ABRA EMPRESS ERONASA A46,EL ABRA JEWLIAN MELGA 7388
EL ABRA EMPRESS ERONASA D721,,,
NACIÓ 01/12/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D723 H.B.A 895662,EL ABRA JEWLIAN B223,EL ABRA BARONESS JUDY C421,EL ABRA JEWLIAN MELGA A735
EL ABRA BARONESS JUDY D723,,,
NACIÓ 01/12/22,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D729 H.B.A 895594,EL ABRA HAYMOUNT A307,EL ABRA DUCHESS ETTIE 8820,EL ABRA HAYMOUNT 4480
EL ABRA DUCHESS ETTIE D729,,,
NACIÓ 01/11/22,,,
SERVIDA POR EL POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D740 H.B.A 897453,EL ABRA HAYMOUNT A204,EL ABRA SQUARTBARRE B098,EL ABRA JEWLIAN MELGA 9508
EL ABRA SQUARTBARRE D740,,,
NACIÓ 01/01/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D750 H.B.A 897451,EL ABRA HAYMOUNT A204,EL ABRA EMPRESS ERONASA 8231,EL ABRA JEWLIAN MELGA 4050
EL ABRA EMPRESS ERONASA D750,,,
NACIÓ 01/09/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN BOND A816 H.B.A. 832802 A CAMPO DESDE EL 01-02-2025,,,
R.P. D761 H.B.A 897716,EL ABRA JEWLIAN MELGA B938,EL ABRA SQUARTBARRE 7799,EL ABRA JEWLIAN 4372
EL ABRA SQUARTBARRE D761,,,
NACIÓ 04/04/23,,,
SERVIDA POR EL TORO EL ABRA JEWLIAN D416 H.B.A. 892390 A CAMPO DESDE EL 01-02-2025,,,
